userId,movieId,rating
370,1,3.0
370,2,3.0
370,6,2.0
370,9,2.0
370,10,3.0
370,24,3.0
370,32,3.0
370,34,5.0
370,39,2.0
370,45,2.0
370,47,4.0
370,50,5.0
370,60,3.0
370,89,3.0
370,95,3.0
370,107,3.0
370,110,3.0
370,112,4.0
370,150,3.0
370,153,2.0
370,158,2.0
370,161,4.0
370,168,4.0
370,170,3.0
370,172,3.0
370,173,2.0
370,196,3.0
370,198,4.0
370,208,3.0
370,239,3.0
370,246,4.0
370,260,4.0
370,292,3.0
370,293,4.0
370,300,3.0
370,303,4.0
370,316,3.0
370,317,2.0
370,318,5.0
370,329,3.0
370,338,4.0
370,340,2.0
370,343,2.0
370,348,2.0
370,356,5.0
370,364,2.0
370,367,4.0
370,368,4.0
370,377,4.0
370,379,3.0
370,434,3.0
370,435,2.0
370,440,4.0
370,442,3.0
370,457,4.0
370,464,3.0
370,466,5.0
370,471,4.0
370,474,4.0
370,480,4.0
370,485,3.0
370,487,4.0
370,494,3.0
370,511,2.0
370,512,2.0
370,515,3.0
370,527,4.0
370,529,3.0
370,533,3.0
370,536,3.0
370,551,4.0
370,552,3.0
370,558,1.0
370,588,3.0
370,589,4.0
370,590,3.0
370,592,2.0
370,593,4.0
370,594,3.0
370,595,3.0
370,596,2.0
370,608,4.0
370,647,3.0
370,648,4.0
370,653,3.0
370,661,2.0
370,673,3.0
370,720,4.0
370,733,3.0
370,745,4.0
370,750,4.0
370,780,4.0
370,788,4.0
370,798,2.0
370,799,4.0
370,836,4.0
370,849,2.0
370,852,3.0
370,858,4.0
370,880,2.0
370,885,2.0
370,903,3.0
370,904,4.0
370,908,3.0
370,912,5.0
370,913,4.0
370,914,3.0
370,919,3.0
370,920,3.0
370,923,5.0
370,924,5.0
370,940,3.0
370,953,4.0
370,954,4.0
370,969,3.0
370,1015,2.0
370,1019,3.0
370,1022,3.0
370,1024,3.0
370,1028,4.0
370,1029,3.0
370,1030,3.0
370,1031,3.0
370,1032,1.0
370,1035,4.0
370,1036,3.0
370,1037,3.0
370,1042,3.0
370,1049,5.0
370,1073,4.0
370,1077,4.0
370,1090,4.0
370,1097,3.0
370,1120,3.0
370,1126,2.0
370,1127,4.0
370,1129,2.0
370,1136,5.0
370,1148,4.0
370,1196,4.0
370,1197,4.0
370,1198,4.0
370,1201,3.0
370,1203,3.0
370,1204,5.0
370,1207,4.0
370,1210,4.0
370,1213,4.0
370,1214,3.0
370,1215,5.0
370,1219,4.0
370,1220,4.0
370,1221,4.0
370,1222,4.0
370,1223,4.0
370,1225,4.0
370,1231,3.0
370,1234,5.0
370,1240,4.0
370,1242,3.0
370,1246,3.0
370,1250,4.0
370,1259,2.0
370,1262,4.0
370,1265,4.0
370,1267,3.0
370,1270,4.0
370,1275,4.0
370,1276,2.0
370,1286,3.0
370,1287,5.0
370,1291,4.0
370,1301,5.0
370,1302,4.0
370,1304,3.0
370,1321,3.0
370,1333,2.0
370,1334,2.0
370,1345,1.0
370,1356,4.0
370,1358,3.0
370,1359,1.0
370,1370,3.0
370,1371,4.0
370,1372,3.0
370,1374,3.0
370,1375,3.0
370,1376,4.0
370,1380,2.0
370,1387,4.0
370,1391,3.0
370,1393,3.0
370,1396,4.0
370,1407,4.0
370,1408,3.0
370,1429,4.0
370,1438,2.0
370,1453,3.0
370,1466,4.0
370,1479,4.0
370,1500,3.0
370,1517,5.0
